Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
536.76	12.68478696	3.83091982
537.19	12.74635289	3.65364176
537.62	12.76666177	3.68007249
538.04	12.96052527	3.79074814
538.47	12.5803395	3.7355808
538.9	12.44752921	3.78620963
539.33	12.57677003	3.77238962
539.76	13.37237017	3.82506486
540.19	12.99534531	3.69247575
540.62	13.20741594	3.59291318
541.04	12.82942207	3.198767
541.47	13.63765424	3.21485705
541.9	13.13386515	3.23909709
542.33	13.1559606	3.11290391
542.76	13.23640053	3.01007323
543.19	13.59404257	3.48450892
543.61	13.36166504	2.9793356
544.04	12.98639869	2.67138325
544.47	13.81896189	3.99707229
544.9	13.80463296	3.20273705
545.33	13.2696792	3.58534945
545.75	13.05069159	3.3732856
546.18	13.88205252	3.53862268
546.61	12.90659787	3.35753249
547.04	14.08574774	3.8313903
547.46	13.68029651	3.87885956
547.89	14.25553606	3.53496054
548.32	14.05160207	3.68210783
548.75	13.43382976	4.06027938
549.17	13.30300765	3.56079697
549.6	13.25425985	3.19038918
550.03	13.454245	3.60684945
550.46	13.93372089	3.82209483
550.88	13.50615463	3.39695167
551.31	13.7099602	3.1069603
551.74	14.03509081	3.16579483
552.16	13.61551368	2.84185179
552.59	13.94882626	3.17523088
553.02	14.01363814	3.51926478
553.44	14.01992837	3.51081269
553.87	14.42823263	3.48181423
554.3	14.48668675	3.45521265
554.72	13.97823008	3.63428831
555.15	14.36688537	3.60270873
555.58	14.01569894	3.4646639
556	14.55197844	3.64217109
556.43	14.01774562	3.43060415
556.86	14.25356773	3.50076064
557.28	13.89718108	3.46817933
557.71	13.61914279	3.22682703
558.14	13.78439489	2.96506443
558.56	13.69834095	3.01319694
558.99	13.56655981	2.85513575
559.41	13.38295005	2.70583344
559.84	13.26032886	2.54257168
560.27	13.74498803	2.74548559
